"collected_at","source_id","item_key","item_name","price_krw","currency","raw_note","source_url","status"
"2026-07-27","disney_bundle","dplus-tving","디즈니+ · 티빙 번들","18000","KRW","fallback_official_help_2025-11-17|parse_empty_used_fallback","https://help.disneyplus.com/ko/article/disneyplus-tving-wavve-bundle","ok"
"2026-07-27","disney_bundle","dplus-tving-wavve","디즈니+ · 티빙 · 웨이브 번들","21500","KRW","fallback_official_help_2025-11-17|parse_empty_used_fallback","https://help.disneyplus.com/ko/article/disneyplus-tving-wavve-bundle","ok"
